task_index,category,label,objn,freq_bin,phrase_freq_in_category,source_image,condition_image,orig_source_path,orig_condition_path,pt1,pt2,bbox,orig_resolution,annot_source_size,annot_condition_size
30,mask,pool,pool,head,20,images/mask/0030_mask_source.jpg,images/mask/0030_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00012/000120561.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00012/000120561_28_pool.jpg,"[1149, 1405]","[1349, 1500]","[0, 1007, 2499, 1872]","{""height"": 1875, ""width"": 2500}",1024x768,1024x768
31,mask,party hats,party-hats,head,11,images/mask/0031_mask_source.jpg,images/mask/0031_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00016/000163263.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00016/000163263_14_party-hats.jpg,"[428, 155]","[838, 239]","[516, 25, 751, 341]","{""height"": 1414, ""width"": 2121}",1024x682,1024x682
32,mask,latches,latches,head,29,images/mask/0032_mask_source.jpg,images/mask/0032_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00016/000165296.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00016/000165296_52_latches.jpg,"[-29, 1742]","[309, 1837]","[0, 1634, 281, 1919]","{""height"": 1920, ""width"": 2560}",1024x768,1024x768
33,mask,costumes,costumes,head,46,images/mask/0033_mask_source.jpg,images/mask/0033_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00016/000167943.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00016/000167943_37_costumes.jpg,"[1591, 848]","[2046, 943]","[1591, 430, 2048, 1334]","{""height"": 2250, ""width"": 3000}",1024x768,1024x768
34,mask,couch,couch,head,24,images/mask/0034_mask_source.jpg,images/mask/0034_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00029/000290507.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00029/000290507_18_couch.jpg,"[2716, 1677]","[3000, 1772]","[2612, 1430, 3104, 1993]","{""height"": 2272, ""width"": 4032}",1024x577,1024x577
35,mask,suit,suit,head,65,images/mask/0035_mask_source.jpg,images/mask/0035_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00006/000062224.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00006/000062224_7_suit.jpg,"[2928, 1696]","[3101, 1791]","[2377, 1301, 3654, 2159]","{""height"": 2160, ""width"": 3840}",1024x576,1024x576
36,mask,The Creation of Adam,The-Creation-of-Adam,head,50,images/mask/0036_mask_source.jpg,images/mask/0036_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00035/000353705.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00035/000353705_14_The-Creation-of-Adam.jpg,"[2191, 1464]","[3237, 1559]","[1995, 1079, 3434, 1917]","{""height"": 3488, ""width"": 5175}",1024x690,1024x690
37,mask,elliptical machines,elliptical-machines,head,21,images/mask/0037_mask_source.jpg,images/mask/0037_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00037/000376513.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00037/000376513_23_elliptical-machines.jpg,"[396, 600]","[1271, 695]","[430, 310, 1239, 959]","{""height"": 1285, ""width"": 2000}",1024x657,1024x657
38,mask,exhaust system,exhaust-system,head,38,images/mask/0038_mask_source.jpg,images/mask/0038_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00023/000230751.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00023/000230751_2_exhaust-system.jpg,"[584, 931]","[1330, 1026]","[371, 883, 1544, 1048]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
39,mask,stand,stand,head,15,images/mask/0039_mask_source.jpg,images/mask/0039_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00017/000170626.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00017/000170626_36_stand.jpg,"[345, 1211]","[608, 1306]","[284, 1110, 671, 1380]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
40,mask,horse drawn carriage,horse-drawn-carriage,head,17,images/mask/0040_mask_source.jpg,images/mask/0040_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00036/000369108.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00036/000369108_0_horse-drawn-carriage.jpg,"[2327, 1340]","[2748, 1397]","[2422, 1274, 2655, 1437]","{""height"": 2268, ""width"": 3402}",1024x682,1024x682
41,mask,storefronts,storefronts,mid,5,images/mask/0041_mask_source.jpg,images/mask/0041_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00012/000126024.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00012/000126024_4_storefronts.jpg,"[773, 2031]","[1291, 2126]","[0, 1379, 2064, 2752]","{""height"": 4323, ""width"": 6505}",1024x680,1024x680
42,mask,yarn balls,yarn-balls,mid,4,images/mask/0042_mask_source.jpg,images/mask/0042_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00001/00008/000089730.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00001/00008/000089730_16_yarn-balls.jpg,"[1070, 1136]","[1537, 1231]","[1071, 1060, 1537, 1280]","{""height"": 1281, ""width"": 1920}",1024x683,1024x683
43,mask,white and blue scooter,white-and-blue-scooter,mid,4,images/mask/0043_mask_source.jpg,images/mask/0043_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00026/000262455.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00026/000262455_5_white-and-blue-scooter.jpg,"[224, 858]","[1321, 953]","[440, 587, 1106, 1198]","{""height"": 1320, ""width"": 1980}",1024x682,1024x682
44,mask,wood paneling,wood-paneling,mid,3,images/mask/0044_mask_source.jpg,images/mask/0044_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00003/000033662.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00003/000033662_17_wood-paneling.jpg,"[397, 668]","[1074, 763]","[471, 393, 1002, 1012]","{""height"": 1333, ""width"": 2000}",1024x682,1024x682
45,mask,necklaces,necklaces,mid,9,images/mask/0045_mask_source.jpg,images/mask/0045_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00028/000287423.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00028/000287423_17_necklaces.jpg,"[2131, 1028]","[2440, 1102]","[2199, 901, 2374, 1202]","{""height"": 1728, ""width"": 3072}",1024x576,1024x576
46,mask,slice,slice,mid,4,images/mask/0046_mask_source.jpg,images/mask/0046_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00037/000370935.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00037/000370935_5_slice.jpg,"[1507, 738]","[1719, 833]","[901, 135, 2325, 1410]","{""height"": 2212, ""width"": 3318}",1024x682,1024x682
47,mask,attendees,attendees,mid,7,images/mask/0047_mask_source.jpg,images/mask/0047_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00024/000242726.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00024/000242726_16_attendees.jpg,"[1997, 463]","[2352, 543]","[2076, 289, 2274, 689]","{""height"": 2058, ""width"": 3840}",1024x548,1024x548
48,mask,spokes,spokes,mid,2,images/mask/0048_mask_source.jpg,images/mask/0048_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00002/000028991.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00002/000028991_11_spokes.jpg,"[1296, 802]","[1622, 897]","[1283, 681, 1636, 992]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
49,mask,crumbs,crumbs,mid,2,images/mask/0049_mask_source.jpg,images/mask/0049_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00004/000042410.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00004/000042410_2_crumbs.jpg,"[405, 1091]","[758, 1186]","[67, 867, 1098, 1383]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
50,mask,black saddlebag,black-saddlebag,mid,6,images/mask/0050_mask_source.jpg,images/mask/0050_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00040/000402729.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00040/000402729_3_black-saddlebag.jpg,"[1083, 532]","[1494, 598]","[1173, 478, 1406, 624]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
51,mask,bottles of water,bottles-of-water,mid,1,images/mask/0051_mask_source.jpg,images/mask/0051_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00008/000085308.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00008/000085308_85_bottles-of-water.jpg,"[1577, 1336]","[1708, 1378]","[1604, 1253, 1682, 1434]","{""height"": 1536, ""width"": 2048}",1024x768,1024x768
52,mask,Honda dirt bikes,Honda-dirt-bikes,mid,2,images/mask/0052_mask_source.jpg,images/mask/0052_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00004/000041009.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00004/000041009_84_Honda-dirt-bikes.jpg,"[-51, 291]","[189, 342]","[0, 258, 142, 348]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
53,mask,stone building,stone-building,mid,4,images/mask/0053_mask_source.jpg,images/mask/0053_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00000/000000292.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00000/000000292_17_stone-building.jpg,"[2060, 1044]","[2417, 1110]","[2140, 1014, 2338, 1113]","{""height"": 1734, ""width"": 2600}",1024x682,1024x682
54,mask,Yamaha personal watercrafts,Yamaha-personal-watercrafts,mid,8,images/mask/0054_mask_source.jpg,images/mask/0054_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00001/000017937.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00001/000017937_6_Yamaha-personal-watercrafts.jpg,"[1650, 346]","[1979, 393]","[1711, 104, 1919, 609]","{""height"": 1440, ""width"": 1920}",1024x768,1024x768
55,mask,silver spoon,silver-spoon,mid,3,images/mask/0055_mask_source.jpg,images/mask/0055_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00033/000331793.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00033/000331793_4_silver-spoon.jpg,"[3267, 1556]","[3839, 1651]","[3258, 1427, 3849, 1753]","{""height"": 3232, ""width"": 4848}",1024x682,1024x682
56,mask,blue shorts,blue-shorts,mid,1,images/mask/0056_mask_source.jpg,images/mask/0056_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00040/000400647.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00040/000400647_9_blue-shorts.jpg,"[1139, 1341]","[1445, 1409]","[1208, 1256, 1377, 1467]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
57,mask,circular table,circular-table,mid,2,images/mask/0057_mask_source.jpg,images/mask/0057_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00024/000248730.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00024/000248730_0_circular-table.jpg,"[803, 1091]","[1432, 1186]","[860, 962, 1377, 1288]","{""height"": 1500, ""width"": 2000}",1024x768,1024x768
58,mask,mint,mint,mid,2,images/mask/0058_mask_source.jpg,images/mask/0058_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00016/000167825.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00016/000167825_8_mint.jpg,"[743, 2466]","[955, 2561]","[23, 1918, 1675, 3083]","{""height"": 4636, ""width"": 7000}",1024x678,1024x678
59,mask,braided blonde hair,braided-blonde-hair,mid,3,images/mask/0059_mask_source.jpg,images/mask/0059_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00016/000161406.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00016/000161406_4_braided-blonde-hair.jpg,"[1624, 715]","[2553, 810]","[1788, 234, 2391, 1264]","{""height"": 1667, ""width"": 2500}",1024x682,1024x682
60,mask,stone cottage,stone-cottage,mid,4,images/mask/0060_mask_source.jpg,images/mask/0060_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00000/00030/000309051.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00000/00030/000309051_0_stone-cottage.jpg,"[320, 663]","[979, 758]","[382, 568, 919, 826]","{""height"": 1330, ""width"": 2048}",1024x665,1024x665
61,mask,R2 D2 model,R2-D2-model,mid,2,images/mask/0061_mask_source.jpg,images/mask/0061_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00024/000244244.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00024/000244244_8_R2-D2-model.jpg,"[518, 629]","[959, 703]","[615, 501, 863, 804]","{""height"": 1297, ""width"": 1600}",1024x830,1024x830
62,mask,luxury vehicles,luxury-vehicles,mid,2,images/mask/0062_mask_source.jpg,images/mask/0062_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00020/000209297.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00020/000209297_6_luxury-vehicles.jpg,"[2163, 518]","[2858, 613]","[2131, 410, 2891, 694]","{""height"": 1985, ""width"": 3000}",1024x677,1024x677
63,mask,towel rack,towel-rack,mid,7,images/mask/0063_mask_source.jpg,images/mask/0063_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00002/00025/000259874.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00002/00025/000259874_30_towel-rack.jpg,"[1239, 549]","[1730, 644]","[1344, 553, 1626, 613]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
64,mask,balloon mural,balloon-mural,mid,2,images/mask/0064_mask_source.jpg,images/mask/0064_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00003/00009/000096414.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00003/00009/000096414_9_balloon-mural.jpg,"[514, 391]","[713, 442]","[556, 225, 672, 582]","{""height"": 1280, ""width"": 1920}",1024x682,1024x682
65,mask,pedestal,pedestal,mid,4,images/mask/0065_mask_source.jpg,images/mask/0065_mask_condition.jpg,/scratch/peterwg/data/ImgEdit_mask/laion-aes/00004/00035/000351957.jpg,/scratch/peterwg/data/ImgEdit_mask/textmask_square/00004/00035/000351957_3_pedestal.jpg,"[1329, 1169]","[1724, 1264]","[1271, 1064, 1783, 1342]","{""height"": 1358, ""width"": 2048}",1024x679,1024x679
